time,level,spatial_ref,no2_conc,o3_conc,co_conc,no_conc,so2_conc
2023-08-01 00:00:00,0.0,0,16.37015,54.038177,207.93608,0.05135685,2.2905843
2023-08-01 01:00:00,0.0,0,14.344056,52.516068,199.02293,0.04842941,2.545974
2023-08-01 02:00:00,0.0,0,13.178723,50.2693,194.22023,0.06494597,2.6415064
2023-08-01 03:00:00,0.0,0,12.936802,46.49489,199.04657,0.098723985,2.5360196
2023-08-01 04:00:00,0.0,0,16.039814,42.17664,204.82097,0.53039175,2.653897
2023-08-01 05:00:00,0.0,0,13.635391,43.944942,215.88765,1.969143,2.5297365
2023-08-01 06:00:00,0.0,0,11.075046,54.116787,222.88269,2.1264813,2.6232507
2023-08-01 07:00:00,0.0,0,7.04197,75.06198,208.1035,1.2969705,2.627073
2023-08-01 08:00:00,0.0,0,4.93416,88.95169,208.83405,0.85842186,2.6047099
2023-08-01 09:00:00,0.0,0,4.2132506,101.53149,207.4751,0.76704544,2.6692955
2023-08-01 10:00:00,0.0,0,3.6565187,107.89059,202.92432,0.6131694,2.4497502
2023-08-01 11:00:00,0.0,0,3.3076925,105.38276,195.40485,0.54664725,2.371543
2023-08-01 12:00:00,0.0,0,3.1821394,104.766235,187.90918,0.5099737,2.2787993
2023-08-01 13:00:00,0.0,0,3.1326265,105.012856,189.20624,0.55067736,2.0564377
2023-08-01 14:00:00,0.0,0,3.4482927,102.94868,189.00696,0.59836334,1.8185514
2023-08-01 15:00:00,0.0,0,3.8613198,98.94602,176.57983,0.594776,1.7439809
2023-08-01 16:00:00,0.0,0,4.6453743,94.329185,180.95839,0.4854333,1.7872602
2023-08-01 17:00:00,0.0,0,6.016579,90.1391,167.25572,0.2654761,1.9081861
2023-08-01 18:00:00,0.0,0,7.464031,85.30026,178.6519,0.06952512,1.9308182
2023-08-01 19:00:00,0.0,0,9.392416,75.26274,185.87044,0.07628002,1.9407753
2023-08-01 20:00:00,0.0,0,10.192468,72.07322,190.35286,0.07783848,2.1540506
2023-08-01 21:00:00,0.0,0,11.000629,67.216064,192.8031,0.06882849,2.368527
2023-08-01 22:00:00,0.0,0,10.857228,65.75118,194.90471,0.05012464,2.6293747
2023-08-01 23:00:00,0.0,0,10.720426,63.013947,199.04332,0.050034642,2.956825
2023-08-02 00:00:00,0.0,0,10.307861,57.80379,204.26178,0.04455636,3.7091029
