time,level,spatial_ref,no2_conc,o3_conc,co_conc,no_conc,so2_conc
2023-01-01 00:00:00,0.0,0,13.58831,49.2233,267.35675,0.1683939,5.0401855
2023-01-01 01:00:00,0.0,0,12.084182,49.01979,265.9108,0.122867644,4.510863
2023-01-01 02:00:00,0.0,0,10.6910715,49.285633,265.1037,0.11348493,4.17349
2023-01-01 03:00:00,0.0,0,9.871501,49.43806,263.99338,0.10139208,3.9783688
2023-01-01 04:00:00,0.0,0,9.34526,49.659058,267.2915,0.12466354,3.9729207
2023-01-01 05:00:00,0.0,0,11.245991,48.08932,276.5295,0.23601149,4.056109
2023-01-01 06:00:00,0.0,0,13.636589,45.472626,286.30576,0.53744036,4.2116895
2023-01-01 07:00:00,0.0,0,14.198067,44.12647,280.00665,1.9777981,4.5377955
2023-01-01 08:00:00,0.0,0,12.428971,43.51711,269.7004,4.092956,5.3241277
2023-01-01 09:00:00,0.0,0,12.483306,47.557064,263.2097,4.0326686,6.258744
2023-01-01 10:00:00,0.0,0,11.727611,49.57783,254.82716,3.6029112,6.452637
2023-01-01 11:00:00,0.0,0,12.4468565,50.620358,250.57814,3.2026043,6.817572
2023-01-01 12:00:00,0.0,0,14.028798,51.70973,244.57994,2.917884,7.4549813
2023-01-01 13:00:00,0.0,0,14.517713,52.961376,252.13554,2.7519557,6.9969583
2023-01-01 14:00:00,0.0,0,19.10055,51.46753,262.24023,2.6364355,6.9988885
2023-01-01 15:00:00,0.0,0,25.725813,46.901672,282.94604,1.0226747,6.9403496
2023-01-01 16:00:00,0.0,0,26.747566,42.810974,304.22665,0.53225803,6.3167167
2023-01-01 17:00:00,0.0,0,27.025782,39.047894,333.1382,0.5707316,6.4165483
2023-01-01 18:00:00,0.0,0,26.37786,50.390057,355.12827,0.6753898,6.970316
2023-01-01 19:00:00,0.0,0,27.445173,49.736324,366.23975,0.48253667,7.259072
2023-01-01 20:00:00,0.0,0,27.284409,49.25517,354.77194,0.5291944,7.153291
2023-01-01 21:00:00,0.0,0,21.931551,46.146557,336.7695,0.3501294,6.459952
2023-01-01 22:00:00,0.0,0,18.17328,49.779377,312.64407,0.24039435,4.952703
2023-01-01 23:00:00,0.0,0,15.558819,50.426067,282.56808,0.14676498,4.647132
2023-01-02 00:00:00,0.0,0,13.541214,54.571167,259.85815,0.12353614,4.1805396
2023-01-02 01:00:00,0.0,0,12.779483,52.3194,247.5699,0.1347254,3.8179877
2023-01-02 02:00:00,0.0,0,11.403895,53.695633,239.66325,0.10028363,3.9739697
2023-01-02 03:00:00,0.0,0,11.05477,52.681965,235.86653,0.10605088,4.1712337
2023-01-02 04:00:00,0.0,0,10.942078,52.57159,239.32458,0.1460722,4.653598
2023-01-02 05:00:00,0.0,0,12.376343,50.200764,267.6998,0.33283716,5.277812
2023-01-02 06:00:00,0.0,0,17.619883,46.75584,313.9246,1.5754687,5.586235
2023-01-02 07:00:00,0.0,0,20.819801,45.90205,323.23618,4.2652645,6.1612935
2023-01-02 08:00:00,0.0,0,20.635939,45.5822,311.8742,6.8059382,6.9053903
2023-01-02 09:00:00,0.0,0,19.276628,47.53124,298.8398,6.9796185,8.116075
2023-01-02 10:00:00,0.0,0,24.043747,40.76669,295.92258,6.543758,7.9540086
2023-01-02 11:00:00,0.0,0,23.562119,43.265667,291.64334,5.717932,7.920176
2023-01-02 12:00:00,0.0,0,21.890455,44.00766,283.02536,4.596828,8.697349
2023-01-02 13:00:00,0.0,0,23.928965,44.822617,277.9775,4.2576065,8.484357
2023-01-02 14:00:00,0.0,0,32.891296,44.820328,283.99173,5.369926,8.99783
2023-01-02 15:00:00,0.0,0,47.157955,37.635815,308.57138,2.7597659,9.79116
2023-01-02 16:00:00,0.0,0,47.10174,31.372452,345.55737,3.5948513,9.988611
2023-01-02 17:00:00,0.0,0,46.5735,35.071827,383.82974,6.298109,9.414779
2023-01-02 18:00:00,0.0,0,43.08481,38.373302,405.21082,3.2180455,9.100609
2023-01-02 19:00:00,0.0,0,36.793648,42.688892,376.7092,1.1601079,9.160006
2023-01-02 20:00:00,0.0,0,30.330927,42.663456,364.3938,0.8369791,7.949171
2023-01-02 21:00:00,0.0,0,28.124884,51.67146,339.86365,0.5914771,7.779091
