latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.667835,22.946175,13.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),wind_speed_10m (km/h),wind_gusts_10m (km/h)
2023-01-01T00:00,6.5,90,0.00,10.2,16.6
2023-01-01T01:00,6.0,90,0.00,8.4,18.7
2023-01-01T02:00,5.3,92,0.00,6.7,15.8
2023-01-01T03:00,5.0,94,0.00,6.5,13.7
2023-01-01T04:00,5.0,96,0.00,7.2,13.3
2023-01-01T05:00,5.5,92,0.00,7.4,14.8
2023-01-01T06:00,5.2,93,0.00,6.1,14.8
2023-01-01T07:00,6.2,90,0.00,7.0,13.3
2023-01-01T08:00,8.6,83,0.00,7.0,15.1
2023-01-01T09:00,10.8,76,0.00,6.9,16.6
2023-01-01T10:00,12.6,72,0.00,6.9,17.6
2023-01-01T11:00,14.0,67,0.00,6.3,17.6
2023-01-01T12:00,15.1,65,0.00,5.2,16.2
2023-01-01T13:00,15.1,65,0.00,5.3,14.0
2023-01-01T14:00,14.2,74,0.00,3.2,12.6
2023-01-01T15:00,11.8,79,0.00,5.9,8.3
2023-01-01T16:00,10.7,81,0.00,5.8,8.6
2023-01-01T17:00,8.1,90,0.00,6.4,9.7
2023-01-01T18:00,8.1,88,0.00,5.1,9.7
2023-01-01T19:00,8.0,87,0.00,5.9,11.2
2023-01-01T20:00,7.4,88,0.00,6.7,13.0
2023-01-01T21:00,6.8,89,0.00,7.1,13.7
2023-01-01T22:00,5.9,94,0.00,6.9,13.3
2023-01-01T23:00,5.1,98,0.00,7.4,13.7
2023-01-02T00:00,5.8,97,0.00,6.2,15.1
2023-01-02T01:00,5.5,96,0.00,7.1,13.0
2023-01-02T02:00,5.0,96,0.00,5.5,13.0
2023-01-02T03:00,5.3,94,0.00,5.5,10.8
2023-01-02T04:00,5.8,92,0.00,6.0,11.5
2023-01-02T05:00,5.2,95,0.00,5.8,11.5
2023-01-02T06:00,4.6,95,0.00,4.0,11.2
2023-01-02T07:00,6.0,92,0.00,6.0,12.2
2023-01-02T08:00,8.9,84,0.00,5.0,13.3
2023-01-02T09:00,11.1,80,0.00,2.5,13.0
2023-01-02T10:00,12.9,71,0.00,2.3,10.1
2023-01-02T11:00,13.9,66,0.00,3.1,11.5
2023-01-02T12:00,14.6,64,0.00,2.7,11.5
2023-01-02T13:00,14.7,64,0.00,2.5,9.7
2023-01-02T14:00,14.0,76,0.00,1.8,8.3
2023-01-02T15:00,11.7,78,0.00,5.0,7.6
2023-01-02T16:00,9.8,82,0.00,5.4,8.3
2023-01-02T17:00,7.8,87,0.00,6.6,9.4
2023-01-02T18:00,7.2,86,0.00,6.0,10.1
2023-01-02T19:00,6.8,86,0.00,5.5,9.7
2023-01-02T20:00,6.5,86,0.00,4.8,9.4
2023-01-02T21:00,6.0,87,0.00,4.5,9.0
2023-01-02T22:00,5.5,89,0.00,4.8,8.6
2023-01-02T23:00,5.2,92,0.00,4.2,8.3
2023-01-03T00:00,5.4,92,0.00,6.0,11.5
2023-01-03T01:00,4.8,90,0.00,5.8,11.2
2023-01-03T02:00,4.5,91,0.00,5.2,10.8
2023-01-03T03:00,4.0,94,0.00,4.8,10.1
2023-01-03T04:00,4.0,96,0.00,5.2,10.4
2023-01-03T05:00,3.9,97,0.00,4.2,10.1
2023-01-03T06:00,3.6,96,0.00,3.9,8.6
2023-01-03T07:00,4.7,98,0.00,6.6,13.3
2023-01-03T08:00,7.9,88,0.00,6.4,14.8
2023-01-03T09:00,10.6,76,0.00,4.2,14.8
2023-01-03T10:00,12.4,67,0.00,3.6,12.6
2023-01-03T11:00,13.6,63,0.00,3.4,12.6
2023-01-03T12:00,14.5,63,0.00,2.7,12.2
2023-01-03T13:00,14.6,63,0.00,2.4,10.1
2023-01-03T14:00,13.9,75,0.00,1.8,9.0
2023-01-03T15:00,13.3,65,0.00,3.6,8.3
2023-01-03T16:00,8.9,83,0.00,5.8,11.2
2023-01-03T17:00,8.5,83,0.00,5.1,11.2
2023-01-03T18:00,8.3,79,0.00,6.4,12.6
2023-01-03T19:00,8.0,76,0.00,6.4,13.7
2023-01-03T20:00,7.4,77,0.00,6.0,13.3
2023-01-03T21:00,7.1,77,0.00,6.0,14.0
